Feature_Name,Feature_Name_EN,Target,Diameter,Center_Latitude,Center_Longitude,Coordinate_System,Approval_Status,Approval_Status_EN,Approval_Date,Origin,Origin_EN
亚伯·D,Abel D,Moon,27.9,-37.67,86.45,Planetographic  +East  -180 - 180,已批准,Approved,2006,Niels Henrik；挪威数学家（1802-1829）。,Niels Henrik; Norwegian mathematician (1802-1829).
阿贝尔,Abel E,Moon,14,-37.54,84.44,Planetographic  +East  -180 - 180,已批准,Approved,2006,Niels Henrik；挪威数学家（1802-1829）。,Niels Henrik; Norwegian mathematician (1802-1829).
亚伯·J,Abel J,Moon,18.76,-36.2,79.87,Planetographic  +East  -180 - 180,已批准,Approved,2006,Niels Henrik；挪威数学家（1802-1829）。,Niels Henrik; Norwegian mathematician (1802-1829).
亚伯·K,Abel K,Moon,9.94,-34.69,77.46,Planetographic  +East  -180 - 180,已批准,Approved,2006,Niels Henrik；挪威数学家（1802-1829）。,Niels Henrik; Norwegian mathematician (1802-1829).
一口钟,Abel L,Moon,54.13,-34.55,82.39,Planetographic  +East  -180 - 180,已批准,Approved,2006,Niels Henrik；挪威数学家（1802-1829）。,Niels Henrik; Norwegian mathematician (1802-1829).
亚伯·M,Abel M,Moon,91.01,-32.38,83.52,Planetographic  +East  -180 - 180,已批准,Approved,2006,Niels Henrik；挪威数学家（1802-1829）。,Niels Henrik; Norwegian mathematician (1802-1829).
阿贝内斯拉,Abenezra,Moon,43.19,-20.99,11.89,Planetographic  +East  -180 - 180,已批准,Approved,1935,亚伯拉罕·本·迈尔·伊本·埃兹拉；西班牙数学家，天文学家（1092-1164 / 1167）。,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167)."
阿贝内斯拉A,Abenezra A,Moon,22.19,-22.79,10.44,Planetographic  +East  -180 - 180,已批准,Approved,2006,亚伯拉罕·本·迈尔·伊本·埃兹拉；西班牙数学家，天文学家（1092-1164 / 1167）。,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167)."
阿贝内斯拉B,Abenezra B,Moon,13.77,-20.82,10.06,Planetographic  +East  -180 - 180,已批准,Approved,2006,亚伯拉罕·本·迈尔·伊本·埃兹拉；西班牙数学家，天文学家（1092-1164 / 1167）。,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167)."
阿贝内斯拉C,Abenezra C,Moon,43.69,-21.37,11.09,Planetographic  +East  -180 - 180,已批准,Approved,2006,亚伯拉罕·本·迈尔·伊本·埃兹拉；西班牙数学家，天文学家（1092-1164 / 1167）。,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167)."
阿贝内斯拉D,Abenezra D,Moon,7.25,-21.76,9.65,Planetographic  +East  -180 - 180,已批准,Approved,2006,亚伯拉罕·本·迈尔·伊本·埃兹拉；西班牙数学家，天文学家（1092-1164 / 1167）。,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167)."
阿贝内斯拉E,Abenezra E,Moon,14.11,-21.46,9.4,Planetographic  +East  -180 - 180,已批准,Approved,2006,亚伯拉罕·本·迈尔·伊本·埃兹拉；西班牙数学家，天文学家（1092-1164 / 1167）。,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167)."
阿贝内斯拉（Abenezra F）,Abenezra F,Moon,6.3,-21.58,10.34,Planetographic  +East  -180 - 180,已批准,Approved,2006,亚伯拉罕·本·迈尔·伊本·埃兹拉；西班牙数学家，天文学家（1092-1164 / 1167）。,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167)."
阿贝内斯拉G,Abenezra G,Moon,4.92,-20.53,11,Planetographic  +East  -180 - 180,已批准,Approved,2006,亚伯拉罕·本·迈尔·伊本·埃兹拉；西班牙数学家，天文学家（1092-1164 / 1167）。,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167)."
阿贝内斯拉H,Abenezra H,Moon,4.72,-21.09,12.71,Planetographic  +East  -180 - 180,已批准,Approved,2006,亚伯拉罕·本·迈尔·伊本·埃兹拉；西班牙数学家，天文学家（1092-1164 / 1167）。,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167)."
阿贝内斯拉J,Abenezra J,Moon,4.26,-19.92,10.69,Planetographic  +East  -180 - 180,已批准,Approved,2006,亚伯拉罕·本·迈尔·伊本·埃兹拉；西班牙数学家，天文学家（1092-1164 / 1167）。,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167)."
阿贝内斯拉,Abenezra P,Moon,39.27,-20.02,9.85,Planetographic  +East  -180 - 180,已批准,Approved,2006,亚伯拉罕·本·迈尔·伊本·埃兹拉；西班牙数学家，天文学家（1092-1164 / 1167）。,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167)."
阿贝蒂,Abetti,Moon,1.6,20.11,27.82,Planetographic  +East  -180 - 180,已批准,Approved,1976,安东尼奥意大利天文学家（1846-1928）；乔治;意大利天文学家（1882-1982）。,Antonio; Italian astronomer (1846-1928); Giorgio; Italian astronomer (1882-1982).
阿伏佛a,Abulfeda,Moon,62.23,-13.87,13.91,Planetographic  +East  -180 - 180,已批准,Approved,1935,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).
阿伏地达A,Abulfeda A,Moon,13.26,-16.43,10.75,Planetographic  +East  -180 - 180,已批准,Approved,2006,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).
阿伏地达B,Abulfeda B,Moon,15.49,-14.51,16.37,Planetographic  +East  -180 - 180,已批准,Approved,2006,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).
Abulfeda BA,Abulfeda BA,Moon,13.99,-14.69,16.8,Planetographic  +East  -180 - 180,已批准,Approved,2006,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).
阿伏地达C,Abulfeda C,Moon,16.43,-12.79,10.83,Planetographic  +East  -180 - 180,已批准,Approved,2006,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).
阿伏地达D,Abulfeda D,Moon,19.68,-13.25,9.46,Planetographic  +East  -180 - 180,已批准,Approved,2006,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).
阿伏地达E,Abulfeda E,Moon,5.55,-16.76,10.14,Planetographic  +East  -180 - 180,已批准,Approved,2006,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).
阿伏地达,Abulfeda F,Moon,17.47,-16.19,13.07,Planetographic  +East  -180 - 180,已批准,Approved,2006,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).
阿伏地达G,Abulfeda G,Moon,6.31,-13.1,8.94,Planetographic  +East  -180 - 180,已批准,Approved,2006,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).
阿伏地达,Abulfeda H,Moon,4.22,-13.84,9.56,Planetographic  +East  -180 - 180,已批准,Approved,2006,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).
阿波菲达,Abulfeda J,Moon,4.07,-15.49,10.03,Planetographic  +East  -180 - 180,已批准,Approved,2006,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).
阿伏地达K,Abulfeda K,Moon,9.93,-14.92,10.58,Planetographic  +East  -180 - 180,已批准,Approved,2006,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).
阿伏地那,Abulfeda L,Moon,4.95,-14.09,10.67,Planetographic  +East  -180 - 180,已批准,Approved,2006,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).
阿伏地达,Abulfeda M,Moon,10.05,-16.23,12.06,Planetographic  +East  -180 - 180,已批准,Approved,2006,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).
没了,Abulfeda N,Moon,13.07,-15.14,12.2,Planetographic  +East  -180 - 180,已批准,Approved,2006,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).
阿伏地达,Abulfeda O,Moon,6.6,-15.47,11.16,Planetographic  +East  -180 - 180,已批准,Approved,2006,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).
阿伏地达,Abulfeda P,Moon,4.59,-15.5,11.54,Planetographic  +East  -180 - 180,已批准,Approved,2006,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).
阿伏地达Q,Abulfeda Q,Moon,3.51,-12.86,12.22,Planetographic  +East  -180 - 180,已批准,Approved,2006,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).
阿伏地达,Abulfeda R,Moon,6.34,-12.79,12.97,Planetographic  +East  -180 - 180,已批准,Approved,2006,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).
阿伏佛a,Abulfeda S,Moon,5.28,-12.28,13.3,Planetographic  +East  -180 - 180,已批准,Approved,2006,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).
阿伏地达,Abulfeda T,Moon,6.16,-14.86,13.71,Planetographic  +East  -180 - 180,已批准,Approved,2006,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).
阿伏地达大学,Abulfeda U,Moon,5.82,-12.97,13.8,Planetographic  +East  -180 - 180,已批准,Approved,2006,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).
阿博菲达W.,Abulfeda W,Moon,5.42,-12.55,13.85,Planetographic  +East  -180 - 180,已批准,Approved,2006,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).
Abulfeda X,Abulfeda X,Moon,5.8,-15.01,13.99,Planetographic  +East  -180 - 180,已批准,Approved,2006,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).
阿伏地达,Abulfeda Y,Moon,4.63,-12.76,14.05,Planetographic  +East  -180 - 180,已批准,Approved,2006,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).
阿伏佛a,Abulfeda Z,Moon,5.66,-14.73,15.18,Planetographic  +East  -180 - 180,已批准,Approved,2006,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).
阿布尔·瓦法,Abul Wáfa,Moon,54.18,0.96,116.63,Planetographic  +East  -180 - 180,已批准,Approved,1970,Abūal-Wafāal-Būzajāni;波斯数学家，天文学家（940-998）。,"Abū al-Wafā al-Būzajāni; Persian mathematician, astronomer (940-998)."
AbulWáfaA,Abul Wáfa A,Moon,14.98,1.4,116.86,Planetographic  +East  -180 - 180,已批准,Approved,2006,Abūal-Wafāal-Būzajāni;波斯数学家，天文学家（940-998）。,"Abū al-Wafā al-Būzajāni; Persian mathematician, astronomer (940-998)."
AbulWáfaQ,Abul Wáfa Q,Moon,31.04,0.14,115.88,Planetographic  +East  -180 - 180,已批准,Approved,2006,Abūal-Wafāal-Būzajāni;波斯数学家，天文学家（940-998）。,"Abū al-Wafā al-Būzajāni; Persian mathematician, astronomer (940-998)."
阿科斯塔,Acosta,Moon,13.06,-5.65,60.14,Planetographic  +East  -180 - 180,已批准,Approved,1976,克里斯托瓦尔葡萄牙医生，自然历史学家（1515-1580）。,"Cristobal; Portuguese doctor, natural historian (1515-1580)."
亚当斯,Adams,Moon,63.27,-31.89,68.39,Planetographic  +East  -180 - 180,已批准,Approved,1970,约翰·库奇；英国天文学家（1819-1892）；查尔斯·希区柯克美国天文学家（1868-1951）；悉尼沃尔特；美国天文学家（1876-1956）。,John Couch; British astronomer (1819-1892); Charles Hitchcock; American astronomer (1868-1951); Walter Sydney; American astronomer (1876-1956).
亚当斯·B,Adams B,Moon,31.33,-31.54,65.7,Planetographic  +East  -180 - 180,已批准,Approved,2006,约翰·库奇；英国天文学家（1819-1892）；查尔斯·希区柯克美国天文学家（1868-1951）；悉尼沃尔特；美国天文学家（1876-1956）。,John Couch; British astronomer (1819-1892); Charles Hitchcock; American astronomer (1868-1951); Walter Sydney; American astronomer (1876-1956).
亚当斯,Adams C,Moon,11.12,-32.35,65.54,Planetographic  +East  -180 - 180,已批准,Approved,2006,约翰·库奇；英国天文学家（1819-1892）；查尔斯·希区柯克美国天文学家（1868-1951）；悉尼沃尔特；美国天文学家（1876-1956）。,John Couch; British astronomer (1819-1892); Charles Hitchcock; American astronomer (1868-1951); Walter Sydney; American astronomer (1876-1956).
亚当斯·D,Adams D,Moon,46.26,-32.41,71.45,Planetographic  +East  -180 - 180,已批准,Approved,2006,约翰·库奇；英国天文学家（1819-1892）；查尔斯·希区柯克美国天文学家（1868-1951）；悉尼沃尔特；美国天文学家（1876-1956）。,John Couch; British astronomer (1819-1892); Charles Hitchcock; American astronomer (1868-1951); Walter Sydney; American astronomer (1876-1956).
亚当斯M,Adams M,Moon,25.23,-34.73,69.33,Planetographic  +East  -180 - 180,已批准,Approved,2006,约翰·库奇；英国天文学家（1819-1892）；查尔斯·希区柯克美国天文学家（1868-1951）；悉尼沃尔特；美国天文学家（1876-1956）。,John Couch; British astronomer (1819-1892); Charles Hitchcock; American astronomer (1868-1951); Walter Sydney; American astronomer (1876-1956).
亚当斯,Adams P,Moon,25.43,-35.15,70.91,Planetographic  +East  -180 - 180,已批准,Approved,2006,约翰·库奇；英国天文学家（1819-1892）；查尔斯·希区柯克美国天文学家（1868-1951）；悉尼沃尔特；美国天文学家（1876-1956）。,John Couch; British astronomer (1819-1892); Charles Hitchcock; American astronomer (1868-1951); Walter Sydney; American astronomer (1876-1956).
e属,Aepinus,Moon,16.74,87.96,-109.69,Planetographic  +East  -180 - 180,已批准,Approved,"Jan 22, 2009",弗朗兹·玛丽亚·乌尔里希·西奥多·霍奇德俄天文学家（1724-1802）。,Franz Maria Ulrich Theodor Hoch; German-Russian astronomer (1724-1802).
Agatharchides,Agatharchides,Moon,51.98,-19.85,-31.11,Planetographic  +East  -180 - 180,已批准,Approved,1935,Cnidos的Agatharchides；希腊地理学家（公元前116年）。,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).
杀虫剂A,Agatharchides A,Moon,15.68,-23.27,-28.46,Planetographic  +East  -180 - 180,已批准,Approved,2006,Cnidos的Agatharchides；希腊地理学家（公元前116年）。,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).
杀虫剂B,Agatharchides B,Moon,6.97,-21.52,-31.71,Planetographic  +East  -180 - 180,已批准,Approved,2006,Cnidos的Agatharchides；希腊地理学家（公元前116年）。,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).
Agatharchides C,Agatharchides C,Moon,11.46,-22.06,-32.94,Planetographic  +East  -180 - 180,已批准,Approved,2006,Cnidos的Agatharchides；希腊地理学家（公元前116年）。,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).
杀虫剂E,Agatharchides E,Moon,15.27,-20.74,-33.19,Planetographic  +East  -180 - 180,已批准,Approved,2006,Cnidos的Agatharchides；希腊地理学家（公元前116年）。,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).
Agatharchides F,Agatharchides F,Moon,5.89,-20.26,-31.86,Planetographic  +East  -180 - 180,已批准,Approved,2006,Cnidos的Agatharchides；希腊地理学家（公元前116年）。,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).
Agatharcheides G.,Agatharchides G,Moon,5.96,-20.17,-26.84,Planetographic  +East  -180 - 180,已批准,Approved,2006,Cnidos的Agatharchides；希腊地理学家（公元前116年）。,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).
炭疽菌,Agatharchides H,Moon,15.97,-20.41,-33.95,Planetographic  +East  -180 - 180,已批准,Approved,2006,Cnidos的Agatharchides；希腊地理学家（公元前116年）。,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).
Agatharchides J,Agatharchides J,Moon,13.04,-21.62,-32.61,Planetographic  +East  -180 - 180,已批准,Approved,2006,Cnidos的Agatharchides；希腊地理学家（公元前116年）。,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).
杀蛇灵K,Agatharchides K,Moon,13.35,-21.08,-27.53,Planetographic  +East  -180 - 180,已批准,Approved,2006,Cnidos的Agatharchides；希腊地理学家（公元前116年）。,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).
Agatharchides L.,Agatharchides L,Moon,7.99,-21.12,-26.79,Planetographic  +East  -180 - 180,已批准,Approved,2006,Cnidos的Agatharchides；希腊地理学家（公元前116年）。,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).
Agatharchides N,Agatharchides N,Moon,21.65,-21.09,-29.72,Planetographic  +East  -180 - 180,已批准,Approved,2006,Cnidos的Agatharchides；希腊地理学家（公元前116年）。,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).
杀蛇arch,Agatharchides O,Moon,4.65,-19.24,-26.71,Planetographic  +East  -180 - 180,已批准,Approved,2006,Cnidos的Agatharchides；希腊地理学家（公元前116年）。,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).
杀虫剂P,Agatharchides P,Moon,65.98,-20.3,-28.77,Planetographic  +East  -180 - 180,已批准,Approved,2006,Cnidos的Agatharchides；希腊地理学家（公元前116年）。,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).
Agatharchides P.,Agatharchides R,Moon,5.11,-18.36,-30.85,Planetographic  +East  -180 - 180,已批准,Approved,2006,Cnidos的Agatharchides；希腊地理学家（公元前116年）。,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).
Agatharchides S.,Agatharchides S,Moon,3.06,-17.75,-30.59,Planetographic  +East  -180 - 180,已批准,Approved,2006,Cnidos的Agatharchides；希腊地理学家（公元前116年）。,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).
Agatharchides T,Agatharchides T,Moon,5.62,-18.32,-27.8,Planetographic  +East  -180 - 180,已批准,Approved,2006,Cnidos的Agatharchides；希腊地理学家（公元前116年）。,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).
阿格里帕,Agrippa,Moon,43.75,4.1,10.47,Planetographic  +East  -180 - 180,已批准,Approved,1935,希腊天文学家（unkn-fl。A.D. 92）。,Greek astronomer (unkn-fl. A.D. 92).
阿格里帕B,Agrippa B,Moon,4.01,6.2,9.46,Planetographic  +East  -180 - 180,已批准,Approved,2006,希腊天文学家（unkn-fl。A.D. 92）。,Greek astronomer (unkn-fl. A.D. 92).
阿格里帕D,Agrippa D,Moon,21.36,3.77,6.72,Planetographic  +East  -180 - 180,已批准,Approved,2006,希腊天文学家（unkn-fl。A.D. 92）。,Greek astronomer (unkn-fl. A.D. 92).
阿格里帕,Agrippa E,Moon,5,5.16,8.44,Planetographic  +East  -180 - 180,已批准,Approved,2006,希腊天文学家（unkn-fl。A.D. 92）。,Greek astronomer (unkn-fl. A.D. 92).
阿格里帕F,Agrippa F,Moon,5.35,4.3,11.37,Planetographic  +East  -180 - 180,已批准,Approved,2006,希腊天文学家（unkn-fl。A.D. 92）。,Greek astronomer (unkn-fl. A.D. 92).
阿格里帕G,Agrippa G,Moon,13.24,3.91,6.16,Planetographic  +East  -180 - 180,已批准,Approved,2006,希腊天文学家（unkn-fl。A.D. 92）。,Greek astronomer (unkn-fl. A.D. 92).
阿格里帕H,Agrippa H,Moon,4.86,4.75,10.7,Planetographic  +East  -180 - 180,已批准,Approved,2006,希腊天文学家（unkn-fl。A.D. 92）。,Greek astronomer (unkn-fl. A.D. 92).
阿格里帕,Agrippa S,Moon,31.71,5.28,8.89,Planetographic  +East  -180 - 180,已批准,Approved,2006,希腊天文学家（unkn-fl。A.D. 92）。,Greek astronomer (unkn-fl. A.D. 92).
通风的,Airy,Moon,38.9,-18.14,5.61,Planetographic  +East  -180 - 180,已批准,Approved,1935,乔治·比德尔；英国天文学家（1801-1892）。,George Biddell; British astronomer (1801-1892).
艾里,Airy A,Moon,12.19,-17.05,7.64,Planetographic  +East  -180 - 180,已批准,Approved,2006,乔治·比德尔；英国天文学家（1801-1892）。,George Biddell; British astronomer (1801-1892).
艾里·B,Airy B,Moon,27.26,-17.67,8.46,Planetographic  +East  -180 - 180,已批准,Approved,2006,乔治·比德尔；英国天文学家（1801-1892）。,George Biddell; British astronomer (1801-1892).
艾里C,Airy C,Moon,30.49,-19.25,4.77,Planetographic  +East  -180 - 180,已批准,Approved,2006,乔治·比德尔；英国天文学家（1801-1892）。,George Biddell; British astronomer (1801-1892).
艾里D,Airy D,Moon,6.61,-18.13,8.34,Planetographic  +East  -180 - 180,已批准,Approved,2006,乔治·比德尔；英国天文学家（1801-1892）。,George Biddell; British astronomer (1801-1892).
艾里E,Airy E,Moon,38.04,-20.75,7.55,Planetographic  +East  -180 - 180,已批准,Approved,2006,乔治·比德尔；英国天文学家（1801-1892）。,George Biddell; British astronomer (1801-1892).
艾里F,Airy F,Moon,4.84,-18.2,7.26,Planetographic  +East  -180 - 180,已批准,Approved,2006,乔治·比德尔；英国天文学家（1801-1892）。,George Biddell; British astronomer (1801-1892).
艾里·G,Airy G,Moon,25.32,-18.7,6.96,Planetographic  +East  -180 - 180,已批准,Approved,2006,乔治·比德尔；英国天文学家（1801-1892）。,George Biddell; British astronomer (1801-1892).
艾里·H,Airy H,Moon,9.31,-18.74,5.69,Planetographic  +East  -180 - 180,已批准,Approved,2006,乔治·比德尔；英国天文学家（1801-1892）。,George Biddell; British astronomer (1801-1892).
艾里J,Airy J,Moon,3.93,-19.05,6.08,Planetographic  +East  -180 - 180,已批准,Approved,2006,乔治·比德尔；英国天文学家（1801-1892）。,George Biddell; British astronomer (1801-1892).
艾里·L,Airy L,Moon,6.02,-20.47,7.54,Planetographic  +East  -180 - 180,已批准,Approved,2006,乔治·比德尔；英国天文学家（1801-1892）。,George Biddell; British astronomer (1801-1892).
艾里M,Airy M,Moon,0.85,-19.15,7.56,Planetographic  +East  -180 - 180,已批准,Approved,2006,乔治·比德尔；英国天文学家（1801-1892）。,George Biddell; British astronomer (1801-1892).
艾里·N,Airy N,Moon,7.95,-17.85,8.18,Planetographic  +East  -180 - 180,已批准,Approved,2006,乔治·比德尔；英国天文学家（1801-1892）。,George Biddell; British astronomer (1801-1892).
艾里·奥,Airy O,Moon,4.53,-16.75,8.35,Planetographic  +East  -180 - 180,已批准,Approved,2006,乔治·比德尔；英国天文学家（1801-1892）。,George Biddell; British astronomer (1801-1892).
艾里·P,Airy P,Moon,6.64,-15.88,8.35,Planetographic  +East  -180 - 180,已批准,Approved,2006,乔治·比德尔；英国天文学家（1801-1892）。,George Biddell; British astronomer (1801-1892).
艾里·R,Airy R,Moon,6.34,-19.6,8.78,Planetographic  +East  -180 - 180,已批准,Approved,2006,乔治·比德尔；英国天文学家（1801-1892）。,George Biddell; British astronomer (1801-1892).
艾里·S,Airy S,Moon,5.31,-17.28,9.39,Planetographic  +East  -180 - 180,已批准,Approved,2006,乔治·比德尔；英国天文学家（1801-1892）。,George Biddell; British astronomer (1801-1892).
艾里·T,Airy T,Moon,36.92,-19.27,9.38,Planetographic  +East  -180 - 180,已批准,Approved,2006,乔治·比德尔；英国天文学家（1801-1892）。,George Biddell; British astronomer (1801-1892).
艾里五世,Airy V,Moon,4.43,-17.5,9.14,Planetographic  +East  -180 - 180,已批准,Approved,2006,乔治·比德尔；英国天文学家（1801-1892）。,George Biddell; British astronomer (1801-1892).
艾里X,Airy X,Moon,3.87,-18.95,10.12,Planetographic  +East  -180 - 180,已批准,Approved,2006,乔治·比德尔；英国天文学家（1801-1892）。,George Biddell; British astronomer (1801-1892).
