Feature_Name,Feature_Name_CN,Target,Diameter,Center_Latitude,Center_Longitude,Coordinate_System,Approval_Status,Approval_Status_CN,Approval_Date,Origin,Origin_CN
Abenezra A,阿贝内斯拉A,Moon,22.19,-22.79,10.44,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",亚伯拉罕·本·迈尔·伊本·埃兹拉；西班牙数学家，天文学家（1092-1164 / 1167）。
Abenezra B,阿贝内斯拉B,Moon,13.77,-20.82,10.06,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",亚伯拉罕·本·迈尔·伊本·埃兹拉；西班牙数学家，天文学家（1092-1164 / 1167）。
Abenezra C,阿贝内斯拉C,Moon,43.69,-21.37,11.09,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",亚伯拉罕·本·迈尔·伊本·埃兹拉；西班牙数学家，天文学家（1092-1164 / 1167）。
Abenezra D,阿贝内斯拉D,Moon,7.25,-21.76,9.65,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",亚伯拉罕·本·迈尔·伊本·埃兹拉；西班牙数学家，天文学家（1092-1164 / 1167）。
Abenezra E,阿贝内斯拉E,Moon,14.11,-21.46,9.4,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",亚伯拉罕·本·迈尔·伊本·埃兹拉；西班牙数学家，天文学家（1092-1164 / 1167）。
Abenezra F,阿贝内斯拉（Abenezra F）,Moon,6.3,-21.58,10.34,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",亚伯拉罕·本·迈尔·伊本·埃兹拉；西班牙数学家，天文学家（1092-1164 / 1167）。
Abenezra G,阿贝内斯拉G,Moon,4.92,-20.53,11,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",亚伯拉罕·本·迈尔·伊本·埃兹拉；西班牙数学家，天文学家（1092-1164 / 1167）。
Abenezra H,阿贝内斯拉H,Moon,4.72,-21.09,12.71,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",亚伯拉罕·本·迈尔·伊本·埃兹拉；西班牙数学家，天文学家（1092-1164 / 1167）。
Abenezra J,阿贝内斯拉J,Moon,4.26,-19.92,10.69,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",亚伯拉罕·本·迈尔·伊本·埃兹拉；西班牙数学家，天文学家（1092-1164 / 1167）。
Abenezra P,阿贝内斯拉,Moon,39.27,-20.02,9.85,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",亚伯拉罕·本·迈尔·伊本·埃兹拉；西班牙数学家，天文学家（1092-1164 / 1167）。
Abetti,阿贝蒂,Moon,1.6,20.11,27.82,Planetographic  +East  -180 - 180,Approved,已批准,1976,Antonio; Italian astronomer (1846-1928); Giorgio; Italian astronomer (1882-1982).,安东尼奥意大利天文学家（1846-1928）；乔治;意大利天文学家（1882-1982）。
Abulfeda,阿伏佛a,Moon,62.23,-13.87,13.91,Planetographic  +East  -180 - 180,Approved,已批准,1935,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。
Abulfeda A,阿伏地达A,Moon,13.26,-16.43,10.75,Planetographic  +East  -180 - 180,Approved,已批准,2006,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。
Abulfeda B,阿伏地达B,Moon,15.49,-14.51,16.37,Planetographic  +East  -180 - 180,Approved,已批准,2006,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。
Abulfeda BA,Abulfeda BA,Moon,13.99,-14.69,16.8,Planetographic  +East  -180 - 180,Approved,已批准,2006,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。
Abulfeda C,阿伏地达C,Moon,16.43,-12.79,10.83,Planetographic  +East  -180 - 180,Approved,已批准,2006,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。
Abulfeda D,阿伏地达D,Moon,19.68,-13.25,9.46,Planetographic  +East  -180 - 180,Approved,已批准,2006,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。
Abulfeda E,阿伏地达E,Moon,5.55,-16.76,10.14,Planetographic  +East  -180 - 180,Approved,已批准,2006,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。
Abulfeda F,阿伏地达,Moon,17.47,-16.19,13.07,Planetographic  +East  -180 - 180,Approved,已批准,2006,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。
Abulfeda G,阿伏地达G,Moon,6.31,-13.1,8.94,Planetographic  +East  -180 - 180,Approved,已批准,2006,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。
Abulfeda H,阿伏地达,Moon,4.22,-13.84,9.56,Planetographic  +East  -180 - 180,Approved,已批准,2006,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。
Abulfeda J,阿波菲达,Moon,4.07,-15.49,10.03,Planetographic  +East  -180 - 180,Approved,已批准,2006,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。
Abulfeda K,阿伏地达K,Moon,9.93,-14.92,10.58,Planetographic  +East  -180 - 180,Approved,已批准,2006,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。
Abulfeda L,阿伏地那,Moon,4.95,-14.09,10.67,Planetographic  +East  -180 - 180,Approved,已批准,2006,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。
Abulfeda M,阿伏地达,Moon,10.05,-16.23,12.06,Planetographic  +East  -180 - 180,Approved,已批准,2006,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。
Abulfeda N,没了,Moon,13.07,-15.14,12.2,Planetographic  +East  -180 - 180,Approved,已批准,2006,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。
Abulfeda O,阿伏地达,Moon,6.6,-15.47,11.16,Planetographic  +East  -180 - 180,Approved,已批准,2006,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。
Abulfeda P,阿伏地达,Moon,4.59,-15.5,11.54,Planetographic  +East  -180 - 180,Approved,已批准,2006,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。
Abulfeda Q,阿伏地达Q,Moon,3.51,-12.86,12.22,Planetographic  +East  -180 - 180,Approved,已批准,2006,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。
Abulfeda R,阿伏地达,Moon,6.34,-12.79,12.97,Planetographic  +East  -180 - 180,Approved,已批准,2006,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。
Abulfeda S,阿伏佛a,Moon,5.28,-12.28,13.3,Planetographic  +East  -180 - 180,Approved,已批准,2006,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。
Abulfeda T,阿伏地达,Moon,6.16,-14.86,13.71,Planetographic  +East  -180 - 180,Approved,已批准,2006,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。
Abulfeda U,阿伏地达大学,Moon,5.82,-12.97,13.8,Planetographic  +East  -180 - 180,Approved,已批准,2006,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。
Abulfeda W,阿博菲达W.,Moon,5.42,-12.55,13.85,Planetographic  +East  -180 - 180,Approved,已批准,2006,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。
Abulfeda X,Abulfeda X,Moon,5.8,-15.01,13.99,Planetographic  +East  -180 - 180,Approved,已批准,2006,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。
Abulfeda Y,阿伏地达,Moon,4.63,-12.76,14.05,Planetographic  +East  -180 - 180,Approved,已批准,2006,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。
Abulfeda Z,阿伏佛a,Moon,5.66,-14.73,15.18,Planetographic  +East  -180 - 180,Approved,已批准,2006,Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331).,Ismail IbnAbūal-Fidā;叙利亚地理学家（1273-1331）。
Abul Wáfa,阿布尔·瓦法,Moon,54.18,0.96,116.63,Planetographic  +East  -180 - 180,Approved,已批准,1970,"Abū al-Wafā al-Būzajāni; Persian mathematician, astronomer (940-998).",Abūal-Wafāal-Būzajāni;波斯数学家，天文学家（940-998）。
Abul Wáfa A,AbulWáfaA,Moon,14.98,1.4,116.86,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Abū al-Wafā al-Būzajāni; Persian mathematician, astronomer (940-998).",Abūal-Wafāal-Būzajāni;波斯数学家，天文学家（940-998）。
Abul Wáfa Q,AbulWáfaQ,Moon,31.04,0.14,115.88,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Abū al-Wafā al-Būzajāni; Persian mathematician, astronomer (940-998).",Abūal-Wafāal-Būzajāni;波斯数学家，天文学家（940-998）。
Acosta,阿科斯塔,Moon,13.06,-5.65,60.14,Planetographic  +East  -180 - 180,Approved,已批准,1976,"Cristobal; Portuguese doctor, natural historian (1515-1580).",克里斯托瓦尔葡萄牙医生，自然历史学家（1515-1580）。
Adams,亚当斯,Moon,63.27,-31.89,68.39,Planetographic  +East  -180 - 180,Approved,已批准,1970,John Couch; British astronomer (1819-1892); Charles Hitchcock; American astronomer (1868-1951); Walter Sydney; American astronomer (1876-1956).,约翰·库奇；英国天文学家（1819-1892）；查尔斯·希区柯克美国天文学家（1868-1951）；悉尼沃尔特；美国天文学家（1876-1956）。
Adams B,亚当斯·B,Moon,31.33,-31.54,65.7,Planetographic  +East  -180 - 180,Approved,已批准,2006,John Couch; British astronomer (1819-1892); Charles Hitchcock; American astronomer (1868-1951); Walter Sydney; American astronomer (1876-1956).,约翰·库奇；英国天文学家（1819-1892）；查尔斯·希区柯克美国天文学家（1868-1951）；悉尼沃尔特；美国天文学家（1876-1956）。
Adams C,亚当斯,Moon,11.12,-32.35,65.54,Planetographic  +East  -180 - 180,Approved,已批准,2006,John Couch; British astronomer (1819-1892); Charles Hitchcock; American astronomer (1868-1951); Walter Sydney; American astronomer (1876-1956).,约翰·库奇；英国天文学家（1819-1892）；查尔斯·希区柯克美国天文学家（1868-1951）；悉尼沃尔特；美国天文学家（1876-1956）。
Adams D,亚当斯·D,Moon,46.26,-32.41,71.45,Planetographic  +East  -180 - 180,Approved,已批准,2006,John Couch; British astronomer (1819-1892); Charles Hitchcock; American astronomer (1868-1951); Walter Sydney; American astronomer (1876-1956).,约翰·库奇；英国天文学家（1819-1892）；查尔斯·希区柯克美国天文学家（1868-1951）；悉尼沃尔特；美国天文学家（1876-1956）。
Adams M,亚当斯M,Moon,25.23,-34.73,69.33,Planetographic  +East  -180 - 180,Approved,已批准,2006,John Couch; British astronomer (1819-1892); Charles Hitchcock; American astronomer (1868-1951); Walter Sydney; American astronomer (1876-1956).,约翰·库奇；英国天文学家（1819-1892）；查尔斯·希区柯克美国天文学家（1868-1951）；悉尼沃尔特；美国天文学家（1876-1956）。
Adams P,亚当斯,Moon,25.43,-35.15,70.91,Planetographic  +East  -180 - 180,Approved,已批准,2006,John Couch; British astronomer (1819-1892); Charles Hitchcock; American astronomer (1868-1951); Walter Sydney; American astronomer (1876-1956).,约翰·库奇；英国天文学家（1819-1892）；查尔斯·希区柯克美国天文学家（1868-1951）；悉尼沃尔特；美国天文学家（1876-1956）。
Aepinus,e属,Moon,16.74,87.96,-109.69,Planetographic  +East  -180 - 180,Approved,已批准,"Jan 22, 2009",Franz Maria Ulrich Theodor Hoch; German-Russian astronomer (1724-1802).,弗朗兹·玛丽亚·乌尔里希·西奥多·霍奇德俄天文学家（1724-1802）。
Agatharchides,Agatharchides,Moon,51.98,-19.85,-31.11,Planetographic  +East  -180 - 180,Approved,已批准,1935,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).,Cnidos的Agatharchides；希腊地理学家（公元前116年）。
Agatharchides A,杀虫剂A,Moon,15.68,-23.27,-28.46,Planetographic  +East  -180 - 180,Approved,已批准,2006,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).,Cnidos的Agatharchides；希腊地理学家（公元前116年）。
Agatharchides B,杀虫剂B,Moon,6.97,-21.52,-31.71,Planetographic  +East  -180 - 180,Approved,已批准,2006,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).,Cnidos的Agatharchides；希腊地理学家（公元前116年）。
Agatharchides C,Agatharchides C,Moon,11.46,-22.06,-32.94,Planetographic  +East  -180 - 180,Approved,已批准,2006,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).,Cnidos的Agatharchides；希腊地理学家（公元前116年）。
Agatharchides E,杀虫剂E,Moon,15.27,-20.74,-33.19,Planetographic  +East  -180 - 180,Approved,已批准,2006,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).,Cnidos的Agatharchides；希腊地理学家（公元前116年）。
Agatharchides F,Agatharchides F,Moon,5.89,-20.26,-31.86,Planetographic  +East  -180 - 180,Approved,已批准,2006,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).,Cnidos的Agatharchides；希腊地理学家（公元前116年）。
Agatharchides G,Agatharcheides G.,Moon,5.96,-20.17,-26.84,Planetographic  +East  -180 - 180,Approved,已批准,2006,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).,Cnidos的Agatharchides；希腊地理学家（公元前116年）。
Agatharchides H,炭疽菌,Moon,15.97,-20.41,-33.95,Planetographic  +East  -180 - 180,Approved,已批准,2006,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).,Cnidos的Agatharchides；希腊地理学家（公元前116年）。
Agatharchides J,Agatharchides J,Moon,13.04,-21.62,-32.61,Planetographic  +East  -180 - 180,Approved,已批准,2006,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).,Cnidos的Agatharchides；希腊地理学家（公元前116年）。
Agatharchides K,杀蛇灵K,Moon,13.35,-21.08,-27.53,Planetographic  +East  -180 - 180,Approved,已批准,2006,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).,Cnidos的Agatharchides；希腊地理学家（公元前116年）。
Agatharchides L,Agatharchides L.,Moon,7.99,-21.12,-26.79,Planetographic  +East  -180 - 180,Approved,已批准,2006,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).,Cnidos的Agatharchides；希腊地理学家（公元前116年）。
Agatharchides N,Agatharchides N,Moon,21.65,-21.09,-29.72,Planetographic  +East  -180 - 180,Approved,已批准,2006,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).,Cnidos的Agatharchides；希腊地理学家（公元前116年）。
Agatharchides O,杀蛇arch,Moon,4.65,-19.24,-26.71,Planetographic  +East  -180 - 180,Approved,已批准,2006,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).,Cnidos的Agatharchides；希腊地理学家（公元前116年）。
Agatharchides P,杀虫剂P,Moon,65.98,-20.3,-28.77,Planetographic  +East  -180 - 180,Approved,已批准,2006,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).,Cnidos的Agatharchides；希腊地理学家（公元前116年）。
Agatharchides R,Agatharchides P.,Moon,5.11,-18.36,-30.85,Planetographic  +East  -180 - 180,Approved,已批准,2006,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).,Cnidos的Agatharchides；希腊地理学家（公元前116年）。
Agatharchides S,Agatharchides S.,Moon,3.06,-17.75,-30.59,Planetographic  +East  -180 - 180,Approved,已批准,2006,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).,Cnidos的Agatharchides；希腊地理学家（公元前116年）。
Agatharchides T,Agatharchides T,Moon,5.62,-18.32,-27.8,Planetographic  +East  -180 - 180,Approved,已批准,2006,Agatharchides of Cnidos; Greek geographer (c. 116 B.C.).,Cnidos的Agatharchides；希腊地理学家（公元前116年）。
Agrippa,阿格里帕,Moon,43.75,4.1,10.47,Planetographic  +East  -180 - 180,Approved,已批准,1935,Greek astronomer (unkn-fl. A.D. 92).,希腊天文学家（unkn-fl。A.D. 92）。
Agrippa B,阿格里帕B,Moon,4.01,6.2,9.46,Planetographic  +East  -180 - 180,Approved,已批准,2006,Greek astronomer (unkn-fl. A.D. 92).,希腊天文学家（unkn-fl。A.D. 92）。
Agrippa D,阿格里帕D,Moon,21.36,3.77,6.72,Planetographic  +East  -180 - 180,Approved,已批准,2006,Greek astronomer (unkn-fl. A.D. 92).,希腊天文学家（unkn-fl。A.D. 92）。
Agrippa E,阿格里帕,Moon,5,5.16,8.44,Planetographic  +East  -180 - 180,Approved,已批准,2006,Greek astronomer (unkn-fl. A.D. 92).,希腊天文学家（unkn-fl。A.D. 92）。
Agrippa F,阿格里帕F,Moon,5.35,4.3,11.37,Planetographic  +East  -180 - 180,Approved,已批准,2006,Greek astronomer (unkn-fl. A.D. 92).,希腊天文学家（unkn-fl。A.D. 92）。
Agrippa G,阿格里帕G,Moon,13.24,3.91,6.16,Planetographic  +East  -180 - 180,Approved,已批准,2006,Greek astronomer (unkn-fl. A.D. 92).,希腊天文学家（unkn-fl。A.D. 92）。
Agrippa H,阿格里帕H,Moon,4.86,4.75,10.7,Planetographic  +East  -180 - 180,Approved,已批准,2006,Greek astronomer (unkn-fl. A.D. 92).,希腊天文学家（unkn-fl。A.D. 92）。
Agrippa S,阿格里帕,Moon,31.71,5.28,8.89,Planetographic  +East  -180 - 180,Approved,已批准,2006,Greek astronomer (unkn-fl. A.D. 92).,希腊天文学家（unkn-fl。A.D. 92）。
Airy,通风的,Moon,38.9,-18.14,5.61,Planetographic  +East  -180 - 180,Approved,已批准,1935,George Biddell; British astronomer (1801-1892).,乔治·比德尔；英国天文学家（1801-1892）。
Airy A,艾里,Moon,12.19,-17.05,7.64,Planetographic  +East  -180 - 180,Approved,已批准,2006,George Biddell; British astronomer (1801-1892).,乔治·比德尔；英国天文学家（1801-1892）。
Airy B,艾里·B,Moon,27.26,-17.67,8.46,Planetographic  +East  -180 - 180,Approved,已批准,2006,George Biddell; British astronomer (1801-1892).,乔治·比德尔；英国天文学家（1801-1892）。
Airy C,艾里C,Moon,30.49,-19.25,4.77,Planetographic  +East  -180 - 180,Approved,已批准,2006,George Biddell; British astronomer (1801-1892).,乔治·比德尔；英国天文学家（1801-1892）。
Airy D,艾里D,Moon,6.61,-18.13,8.34,Planetographic  +East  -180 - 180,Approved,已批准,2006,George Biddell; British astronomer (1801-1892).,乔治·比德尔；英国天文学家（1801-1892）。
Airy E,艾里E,Moon,38.04,-20.75,7.55,Planetographic  +East  -180 - 180,Approved,已批准,2006,George Biddell; British astronomer (1801-1892).,乔治·比德尔；英国天文学家（1801-1892）。
Airy F,艾里F,Moon,4.84,-18.2,7.26,Planetographic  +East  -180 - 180,Approved,已批准,2006,George Biddell; British astronomer (1801-1892).,乔治·比德尔；英国天文学家（1801-1892）。
Airy G,艾里·G,Moon,25.32,-18.7,6.96,Planetographic  +East  -180 - 180,Approved,已批准,2006,George Biddell; British astronomer (1801-1892).,乔治·比德尔；英国天文学家（1801-1892）。
Airy H,艾里·H,Moon,9.31,-18.74,5.69,Planetographic  +East  -180 - 180,Approved,已批准,2006,George Biddell; British astronomer (1801-1892).,乔治·比德尔；英国天文学家（1801-1892）。
Airy J,艾里J,Moon,3.93,-19.05,6.08,Planetographic  +East  -180 - 180,Approved,已批准,2006,George Biddell; British astronomer (1801-1892).,乔治·比德尔；英国天文学家（1801-1892）。
Airy L,艾里·L,Moon,6.02,-20.47,7.54,Planetographic  +East  -180 - 180,Approved,已批准,2006,George Biddell; British astronomer (1801-1892).,乔治·比德尔；英国天文学家（1801-1892）。
Airy M,艾里M,Moon,0.85,-19.15,7.56,Planetographic  +East  -180 - 180,Approved,已批准,2006,George Biddell; British astronomer (1801-1892).,乔治·比德尔；英国天文学家（1801-1892）。
Airy N,艾里·N,Moon,7.95,-17.85,8.18,Planetographic  +East  -180 - 180,Approved,已批准,2006,George Biddell; British astronomer (1801-1892).,乔治·比德尔；英国天文学家（1801-1892）。
Airy O,艾里·奥,Moon,4.53,-16.75,8.35,Planetographic  +East  -180 - 180,Approved,已批准,2006,George Biddell; British astronomer (1801-1892).,乔治·比德尔；英国天文学家（1801-1892）。
Airy P,艾里·P,Moon,6.64,-15.88,8.35,Planetographic  +East  -180 - 180,Approved,已批准,2006,George Biddell; British astronomer (1801-1892).,乔治·比德尔；英国天文学家（1801-1892）。
Airy R,艾里·R,Moon,6.34,-19.6,8.78,Planetographic  +East  -180 - 180,Approved,已批准,2006,George Biddell; British astronomer (1801-1892).,乔治·比德尔；英国天文学家（1801-1892）。
Airy S,艾里·S,Moon,5.31,-17.28,9.39,Planetographic  +East  -180 - 180,Approved,已批准,2006,George Biddell; British astronomer (1801-1892).,乔治·比德尔；英国天文学家（1801-1892）。
Airy T,艾里·T,Moon,36.92,-19.27,9.38,Planetographic  +East  -180 - 180,Approved,已批准,2006,George Biddell; British astronomer (1801-1892).,乔治·比德尔；英国天文学家（1801-1892）。
Airy V,艾里五世,Moon,4.43,-17.5,9.14,Planetographic  +East  -180 - 180,Approved,已批准,2006,George Biddell; British astronomer (1801-1892).,乔治·比德尔；英国天文学家（1801-1892）。
Airy X,艾里X,Moon,3.87,-18.95,10.12,Planetographic  +East  -180 - 180,Approved,已批准,2006,George Biddell; British astronomer (1801-1892).,乔治·比德尔；英国天文学家（1801-1892）。
Aitken,艾特肯,Moon,129.69,-16.44,172.96,Planetographic  +East  -180 - 180,Approved,已批准,1970,Robert Grant; American astronomer (1864-1951).,罗伯特·格兰特美国天文学家（1864-1951）。
